State,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,1225923,1156968,15530
Andhra Pradesh,217471802,205559241,1770718
Arunachal Pradesh,3782248,3523930,11463
Assam,53835653,50282057,245417
Bihar,64476470,60206740,354197
Chandigarh,4949847,4477635,72677
Chhattisgarh,67755981,59982454,782856
Dadra and Nagar Haveli and Daman and Diu,945285,867092,632
Delhi,146924754,137112624,2568896
Goa,12617524,11558944,173487
Gujarat,64223128,57354305,1252860
Haryana,60655573,55998434,649780
Himachal Pradesh,11416761,10207375,179461
Jammu and Kashmir,28844023,26251885,444874
Jharkhand,28884151,26387605,262799
Karnataka,225445134,204900974,2979193
Kerala,183435489,164849435,714991
Ladakh,2169942,1961820,26693
Lakshadweep,73967,48824,85
Madhya Pradesh,60080274,54331833,917062
Maharashtra,544076362,473386099,12906961
Manipur,6034074,5521162,68145
Meghalaya,2899332,2648478,28844
Mizoram,936462,859542,1589
Nagaland,2707289,2445496,16064
Odisha,77681856,73593341,421935
Puducherry,9366727,8573983,155037
Punjab,43853316,39050545,1312812
Rajasthan,71086367,64395153,650304
Sikkim,1302618,1158892,25402
State Unassigned,344940,0,0
Tamil Nadu,210817294,197437937,3122044
Telangana,70953143,65456297,405835
Tripura,7952435,7382925,88120
Uttar Pradesh,146855600,132312337,2062916
Uttarakhand,21076506,18657091,338747
West Bengal,124652312,115533311,2220302
